ballet,measure_num,movements_in_measure,unique_body_movements_in_measure,unique_directions_in_measure,repetition_index,direction_diversity_index,year,length_seconds,choreographer,nationality
endolor,1,14,8,5,0.4285714285714286,0.35714285714285715,1944,60,ethel_winters,american
endolor,2,9,7,3,0.2222222222222222,0.3333333333333333,1944,60,ethel_winters,american
endolor,3,5,4,2,0.19999999999999996,0.4,1944,60,ethel_winters,american
endolor,4,3,2,1,0.33333333333333337,0.3333333333333333,1944,60,ethel_winters,american
endolor,5,14,5,4,0.6428571428571428,0.2857142857142857,1944,60,ethel_winters,american
endolor,6,15,10,5,0.33333333333333337,0.3333333333333333,1944,60,ethel_winters,american
endolor,7,13,5,2,0.6153846153846154,0.15384615384615385,1944,60,ethel_winters,american
endolor,8,4,4,2,0.0,0.5,1944,60,ethel_winters,american
endolor,9,4,4,3,0.0,0.75,1944,60,ethel_winters,american
endolor,10,10,6,4,0.4,0.4,1944,60,ethel_winters,american
endolor,11,5,4,3,0.19999999999999996,0.6,1944,60,ethel_winters,american
endolor,12,5,4,4,0.19999999999999996,0.8,1944,60,ethel_winters,american
endolor,13,5,5,2,0.0,0.4,1944,60,ethel_winters,american
endolor,14,2,2,1,0.0,0.5,1944,60,ethel_winters,american
endolor,15,10,5,5,0.5,0.5,1944,60,ethel_winters,american
endolor,16,4,3,3,0.25,0.75,1944,60,ethel_winters,american
endolor,17,2,2,1,0.0,0.5,1944,60,ethel_winters,american
endolor,18,3,2,2,0.33333333333333337,0.6666666666666666,1944,60,ethel_winters,american
endolor,19,5,4,2,0.19999999999999996,0.4,1944,60,ethel_winters,american
endolor,20,5,3,2,0.4,0.4,1944,60,ethel_winters,american
