ballet,measure_num,movements_in_measure,unique_body_movements_in_measure,unique_directions_in_measure,repetition_index,direction_diversity_index,year,choreographer,nationality
raymonda,1,4,4,3,0.0,0.75,1898,marius_petipa,french
raymonda,2,6,4,2,0.33333333333333337,0.3333333333333333,1898,marius_petipa,french
raymonda,4,5,3,3,0.4,0.6,1898,marius_petipa,french
raymonda,5,8,5,5,0.375,0.625,1898,marius_petipa,french
raymonda,6,6,5,2,0.16666666666666663,0.3333333333333333,1898,marius_petipa,french
raymonda,7,4,4,2,0.0,0.5,1898,marius_petipa,french
raymonda,8,1,1,1,0.0,1.0,1898,marius_petipa,french
raymonda,9,3,3,1,0.0,0.3333333333333333,1898,marius_petipa,french
raymonda,10,2,2,2,0.0,1.0,1898,marius_petipa,french
raymonda,11,4,2,2,0.5,0.5,1898,marius_petipa,french
raymonda,12,3,3,3,0.0,1.0,1898,marius_petipa,french
raymonda,13,12,8,5,0.33333333333333337,0.4166666666666667,1898,marius_petipa,french
raymonda,14,9,5,5,0.4444444444444444,0.5555555555555556,1898,marius_petipa,french
raymonda,15,5,3,3,0.4,0.6,1898,marius_petipa,french
raymonda,16,6,4,4,0.33333333333333337,0.6666666666666666,1898,marius_petipa,french
raymonda,17,7,4,2,0.4285714285714286,0.2857142857142857,1898,marius_petipa,french
raymonda,18,8,5,4,0.375,0.5,1898,marius_petipa,french
raymonda,19,4,3,1,0.25,0.25,1898,marius_petipa,french
raymonda,20,8,6,4,0.25,0.5,1898,marius_petipa,french
raymonda,21,4,4,1,0.0,0.25,1898,marius_petipa,french
raymonda,22,6,5,4,0.16666666666666663,0.6666666666666666,1898,marius_petipa,french
raymonda,23,4,4,1,0.0,0.25,1898,marius_petipa,french
raymonda,24,9,6,5,0.33333333333333337,0.5555555555555556,1898,marius_petipa,french
raymonda,25,7,5,3,0.2857142857142857,0.42857142857142855,1898,marius_petipa,french
raymonda,26,6,4,3,0.33333333333333337,0.5,1898,marius_petipa,french
raymonda,27,5,4,2,0.19999999999999996,0.4,1898,marius_petipa,french
raymonda,28,12,7,3,0.41666666666666663,0.25,1898,marius_petipa,french
raymonda,29,9,6,3,0.33333333333333337,0.3333333333333333,1898,marius_petipa,french
raymonda,30,11,8,3,0.2727272727272727,0.2727272727272727,1898,marius_petipa,french
raymonda,31,8,6,3,0.25,0.375,1898,marius_petipa,french
raymonda,32,3,3,2,0.0,0.6666666666666666,1898,marius_petipa,french
raymonda,33,7,5,5,0.2857142857142857,0.7142857142857143,1898,marius_petipa,french
raymonda,34,13,8,6,0.3846153846153846,0.46153846153846156,1898,marius_petipa,french
raymonda,35,9,8,4,0.11111111111111116,0.4444444444444444,1898,marius_petipa,french
raymonda,36,4,3,4,0.25,1.0,1898,marius_petipa,french
raymonda,37,9,7,3,0.2222222222222222,0.3333333333333333,1898,marius_petipa,french
raymonda,38,10,7,3,0.30000000000000004,0.3,1898,marius_petipa,french
raymonda,39,9,6,3,0.33333333333333337,0.3333333333333333,1898,marius_petipa,french
raymonda,40,7,6,3,0.1428571428571429,0.42857142857142855,1898,marius_petipa,french
raymonda,41,10,7,3,0.30000000000000004,0.3,1898,marius_petipa,french
raymonda,42,11,5,4,0.5454545454545454,0.36363636363636365,1898,marius_petipa,french
raymonda,43,4,3,3,0.25,0.75,1898,marius_petipa,french
raymonda,44,12,8,6,0.33333333333333337,0.5,1898,marius_petipa,french
raymonda,45,7,4,4,0.4285714285714286,0.5714285714285714,1898,marius_petipa,french
raymonda,46,2,2,2,0.0,1.0,1898,marius_petipa,french
raymonda,47,3,2,2,0.33333333333333337,0.6666666666666666,1898,marius_petipa,french
raymonda,51,3,2,2,0.33333333333333337,0.6666666666666666,1898,marius_petipa,french
raymonda,52,3,2,2,0.33333333333333337,0.6666666666666666,1898,marius_petipa,french
raymonda,53,7,4,5,0.4285714285714286,0.7142857142857143,1898,marius_petipa,french
raymonda,54,4,4,4,0.0,1.0,1898,marius_petipa,french
