ballet,measure_num,movements_in_measure,unique_body_movements_in_measure,unique_directions_in_measure,repetition_index,direction_diversity_index,year,length_seconds,choreographer,nationality
sleepingbeauty_bluebird,1,6,5,3,0.16666666666666663,0.5,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,2,12,5,3,0.5833333333333333,0.25,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,3,14,8,5,0.4285714285714286,0.35714285714285715,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,4,20,8,4,0.6,0.2,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,5,21,6,5,0.7142857142857143,0.23809523809523808,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,6,27,8,5,0.7037037037037037,0.18518518518518517,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,7,25,8,5,0.6799999999999999,0.2,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,8,22,8,4,0.6363636363636364,0.18181818181818182,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,9,22,8,5,0.6363636363636364,0.22727272727272727,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,10,11,8,5,0.2727272727272727,0.45454545454545453,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,11,18,7,7,0.6111111111111112,0.3888888888888889,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,12,17,8,6,0.5294117647058824,0.35294117647058826,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,13,23,10,6,0.5652173913043479,0.2608695652173913,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,15,8,7,3,0.125,0.375,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,16,17,5,4,0.7058823529411764,0.23529411764705882,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,17,5,3,3,0.4,0.6,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,18,11,6,5,0.4545454545454546,0.45454545454545453,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,19,3,2,2,0.33333333333333337,0.6666666666666666,1890,NA,marius_petipa,french
sleepingbeauty_bluebird,20,12,8,4,0.33333333333333337,0.3333333333333333,1890,NA,marius_petipa,french
