ballet,measure_num,movements_in_measure,unique_body_movements_in_measure,unique_directions_in_measure,repetition_index,direction_diversity_index,year,length_seconds,choreographer,nationality
songs,1,5,5,2,0.0,0.4,1956,NA,mary_anthony,american
songs,2,8,3,2,0.625,0.25,1956,NA,mary_anthony,american
songs,3,5,5,2,0.0,0.4,1956,NA,mary_anthony,american
songs,4,15,7,3,0.5333333333333333,0.2,1956,NA,mary_anthony,american
songs,5,23,9,7,0.6086956521739131,0.30434782608695654,1956,NA,mary_anthony,american
songs,6,41,9,7,0.7804878048780488,0.17073170731707318,1956,NA,mary_anthony,american
songs,7,7,3,3,0.5714285714285714,0.42857142857142855,1956,NA,mary_anthony,american
songs,8,17,7,7,0.5882352941176471,0.4117647058823529,1956,NA,mary_anthony,american
songs,9,20,9,3,0.55,0.15,1956,NA,mary_anthony,american
songs,10,34,10,7,0.7058823529411764,0.20588235294117646,1956,NA,mary_anthony,american
songs,11,2,2,2,0.0,1.0,1956,NA,mary_anthony,american
songs,12,34,9,7,0.7352941176470589,0.20588235294117646,1956,NA,mary_anthony,american
songs,13,1,1,1,0.0,1.0,1956,NA,mary_anthony,american
songs,14,27,9,7,0.6666666666666667,0.25925925925925924,1956,NA,mary_anthony,american
